"Age","num","cumsum","Penetrance"
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,1,1,0.00087260034904014
26,0,1,0.00087260034904014
27,2,3,0.00261780104712042
28,0,3,0.00261780104712042
29,0,3,0.00261780104712042
30,4,7,0.00610820244328098
31,0,7,0.00610820244328098
32,2,9,0.00785340314136126
33,1,10,0.0087260034904014
34,5,15,0.0130890052356021
35,8,23,0.0200698080279232
36,7,30,0.0261780104712042
37,8,38,0.0331588132635253
38,3,41,0.0357766143106457
39,4,45,0.0392670157068063
40,9,54,0.0471204188481675
41,9,63,0.0549738219895288
42,15,78,0.0680628272251309
43,16,94,0.0820244328097731
44,21,115,0.100349040139616
45,23,138,0.120418848167539
46,25,163,0.142233856893543
47,24,187,0.163176265270506
48,29,216,0.18848167539267
49,28,244,0.212914485165794
50,31,275,0.239965095986038
51,30,305,0.266143106457243
52,41,346,0.301919720767888
53,25,371,0.323734729493892
54,31,402,0.350785340314136
55,55,457,0.398778359511344
56,44,501,0.43717277486911
57,51,552,0.481675392670157
58,61,613,0.534904013961606
59,52,665,0.580279232111693
60,57,722,0.630017452006981
61,43,765,0.667539267015707
62,49,814,0.710296684118674
63,46,860,0.75043630017452
64,38,898,0.783595113438045
65,47,945,0.824607329842932
66,30,975,0.850785340314136
67,25,1000,0.87260034904014
68,33,1033,0.901396160558464
69,20,1053,0.918848167539267
70,24,1077,0.93979057591623
71,22,1099,0.958987783595113
72,14,1113,0.971204188481675
73,4,1117,0.974694589877836
74,5,1122,0.979057591623037
75,4,1126,0.982547993019197
76,4,1130,0.986038394415358
77,4,1134,0.989528795811518
78,4,1138,0.993019197207679
79,2,1140,0.994764397905759
80,4,1144,0.99825479930192
81,0,1144,0.99825479930192
82,1,1145,0.99912739965096
83,1,1146,1
84,0,1146,1
85,0,1146,1
86,0,1146,1
87,0,1146,1
88,0,1146,1
89,0,1146,1
90,0,1146,1
91,0,1146,1
92,0,1146,1
93,0,1146,1
94,0,1146,1
95,0,1146,1
96,0,1146,1
97,0,1146,1
98,0,1146,1
99,0,1146,1
100,0,1146,1
